date,ct_value,gene
D0,15.94,B2m
D0,16.1,B2m
D0,16.11,B2m
D0_Nore,16.6,B2m
D0_Nore,16.07,B2m
D0_Nore,16.36,B2m
D8,16.54,B2m
D8,16.72,B2m
D8,16.61,B2m
D8_Nore,16.32,B2m
D8_Nore,16.26,B2m
D8_Nore,16.31,B2m
D0,28.3,Gapdh
D0,28.56,Gapdh
D0,28.73,Gapdh
D0_Nore,29.12,Gapdh
D0_Nore,28.59,Gapdh
D0_Nore,28.77,Gapdh
D8,27.78,Gapdh
D8,27.73,Gapdh
D8,27.51,Gapdh
D8_Nore,27.31,Gapdh
D8_Nore,27.13,Gapdh
D8_Nore,27.31,Gapdh
D0,17.11,Rpl13a
D0,17.13,Rpl13a
D0,17.04,Rpl13a
D0_Nore,16.87,Rpl13a
D0_Nore,17.14,Rpl13a
D0_Nore,17.05,Rpl13a
D8,17.51,Rpl13a
D8,17.57,Rpl13a
D8,17.51,Rpl13a
D8_Nore,17.36,Rpl13a
D8_Nore,17.35,Rpl13a
D8_Nore,17.76,Rpl13a
D0,16.02,Rps18
D0,16.27,Rps18
D0,16.23,Rps18
D0_Nore,15.92,Rps18
D0_Nore,15.8,Rps18
D0_Nore,15.91,Rps18
D8,16.58,Rps18
D8,16.57,Rps18
D8,16.43,Rps18
D8_Nore,16.71,Rps18
D8_Nore,16.75,Rps18
D8_Nore,16.71,Rps18
D0,21.92,Tbp
D0,22.39,Tbp
D0,22.26,Tbp
D0_Nore,22.23,Tbp
D0_Nore,22.07,Tbp
D0_Nore,22.28,Tbp
D8,22.47,Tbp
D8,22.65,Tbp
D8,22.13,Tbp
D8_Nore,22.02,Tbp
D8_Nore,21.94,Tbp
D8_Nore,22.03,Tbp
D0,16.12,Ubc
D0,16.24,Ubc
D0,16.35,Ubc
D0_Nore,16.15,Ubc
D0_Nore,15.99,Ubc
D0_Nore,16.19,Ubc
D8,16.42,Ubc
D8,16.46,Ubc
D8,15.93,Ubc
D8_Nore,15.98,Ubc
D8_Nore,15.98,Ubc
D8_Nore,16.12,Ubc
D0,14.41,Actb
D0,13.98,Actb
D0,14.21,Actb
D0_Nore,13.26,Actb
D0_Nore,13.64,Actb
D0_Nore,13.18,Actb
D8,16.59,Actb
D8,16.66,Actb
D8,16.92,Actb
D8_Nore,16.9,Actb
D8_Nore,16.88,Actb
D8_Nore,17.01,Actb
D0,21.6,Gusb
D0,21.59,Gusb
D0,21.68,Gusb
D0_Nore,21.63,Gusb
D0_Nore,21.94,Gusb
D0_Nore,21.46,Gusb
D8,24.24,Gusb
D8,24.32,Gusb
D8,24.49,Gusb
D8_Nore,23.68,Gusb
D8_Nore,23.81,Gusb
D8_Nore,23.75,Gusb
D0,17.94,Pgk1
D0,17.88,Pgk1
D0,17.91,Pgk1
D0_Nore,17.55,Pgk1
D0_Nore,17.58,Pgk1
D0_Nore,17.65,Pgk1
D8,15.37,Pgk1
D8,15.47,Pgk1
D8,15.39,Pgk1
D8_Nore,15.57,Pgk1
D8_Nore,15.75,Pgk1
D8_Nore,15.9,Pgk1
D0,20.28,Sdha
D0,19.82,Sdha
D0,19.95,Sdha
D0_Nore,19.9,Sdha
D0_Nore,19.92,Sdha
D0_Nore,19.69,Sdha
D8,16.5,Sdha
D8,16.59,Sdha
D8,16.57,Sdha
D8_Nore,16.59,Sdha
D8_Nore,16.66,Sdha
D8_Nore,16.78,Sdha
D0,23.23,Hprt
D0,23.5,Hprt
D0,23.33,Hprt
D0_Nore,22.52,Hprt
D0_Nore,22.69,Hprt
D0_Nore,22.63,Hprt
D8,22.19,Hprt
D8,22.11,Hprt
D8,22.14,Hprt
D8_Nore,22.25,Hprt
D8_Nore,22.43,Hprt
D8_Nore,22.25,Hprt
D0,20.65,Rer1
D0,20.67,Rer1
D0,20.63,Rer1
D0_Nore,20.3,Rer1
D0_Nore,20.44,Rer1
D0_Nore,20.52,Rer1
D8,20.9,Rer1
D8,20.92,Rer1
D8,20.77,Rer1
D8_Nore,20.88,Rer1
D8_Nore,20.95,Rer1
D8_Nore,20.99,Rer1
D0,18.1,Tubb5
D0,18.44,Tubb5
D0,18.16,Tubb5
D0_Nore,17.79,Tubb5
D0_Nore,18.03,Tubb5
D0_Nore,18.28,Tubb5
D8,20.31,Tubb5
D8,20.25,Tubb5
D8,20.08,Tubb5
D8_Nore,20.3,Tubb5
D8_Nore,20.35,Tubb5
D8_Nore,20.42,Tubb5
D8_Nore,20.42,Tubb5
D8_Nore,20.42,Tubb5
D8_Nore,20.42,Tubb5
D8_Nore,20.42,Tubb5
D8_Nore,20.42,Tubb5
D8_Nore,20.42,Tubb5
D8_Nore,20.42,Tubb5
D8_Nore,20.42,Tubb5
D8_Nore,20.42,Tubb5
D8_Nore,20.42,Tubb5
D8_Nore,20.42,Tubb5
D8_Nore,20.42,Tubb5
D8_Nore,20.42,Tubb5
D8_Nore,20.42,Tubb5
D8_Nore,20.42,Tubb5
D8_Nore,20.42,Tubb5
D8_Nore,20.42,Tubb5
D8_Nore,20.42,Tubb5
D8_Nore,20.42,Tubb5
D8_Nore,20.42,Tubb5
D8_Nore,20.42,Tubb5
D8_Nore,20.42,Tubb5
D8_Nore,20.42,Tubb5
D8_Nore,20.42,Tubb5
D8_Nore,20.42,Tubb5
D8_Nore,20.42,Tubb5
D8_Nore,20.42,Tubb5
D8_Nore,20.42,Tubb5
D8_Nore,20.42,Tubb5
D8_Nore,20.42,Tubb5
D8_Nore,20.42,Tubb5
D8_Nore,20.42,Tubb5
D8_Nore,20.42,Tubb5
D8_Nore,20.42,Tubb5
D8_Nore,20.42,Tubb5
D8_Nore,20.42,Tubb5
D8_Nore,20.42,Tubb5
D8_Nore,20.42,Tubb5
D8_Nore,20.42,Tubb5
