date,ct_value,gene
D0,22.39,Tbp
D0,22.54,Tbp
D0,22.64,Tbp
D2,22.3,Tbp
D2,22.57,Tbp
D2,22.52,Tbp
D4,22.75,Tbp
D4,22.59,Tbp
D4,22.35,Tbp
D6,22.23,Tbp
D6,22.45,Tbp
D6,22.32,Tbp
D8,22.33,Tbp
D8,22.55,Tbp
D8,22.51,Tbp
D0,30.04,Gapdh
D0,29.98,Gapdh
D0,29.83,Gapdh
D2,30.91,Gapdh
D2,30.43,Gapdh
D2,30.51,Gapdh
D4,27.99,Gapdh
D4,28.04,Gapdh
D4,27.96,Gapdh
D6,28.04,Gapdh
D6,28.08,Gapdh
D6,28.17,Gapdh
D8,28.49,Gapdh
D8,28.65,Gapdh
D8,28.75,Gapdh
D0,16.56,Rps18
D0,16.6,Rps18
D0,16.6,Rps18
D2,17.01,Rps18
D2,17.27,Rps18
D2,17.21,Rps18
D4,17.26,Rps18
D4,17.45,Rps18
D4,17.41,Rps18
D6,17.46,Rps18
D6,17.33,Rps18
D6,17.44,Rps18
D8,17.19,Rps18
D8,17.19,Rps18
D8,16.65,Rps18
D0,16.03,B2m
D0,16.22,B2m
D0,16.02,B2m
D2,16.16,B2m
D2,16.27,B2m
D2,16.25,B2m
D4,17.53,B2m
D4,17.23,B2m
D4,17.29,B2m
D6,17.07,B2m
D6,17.07,B2m
D6,17.15,B2m
D8,16.69,B2m
D8,16.79,B2m
D8,16.65,B2m
D0,23.76,Hprt
D0,23.58,Hprt
D0,23.77,Hprt
D2,21.41,Hprt
D2,21.29,Hprt
D2,21.19,Hprt
D4,22.69,Hprt
D4,22.54,Hprt
D4,22.28,Hprt
D6,22.35,Hprt
D6,22.32,Hprt
D6,22.55,Hprt
D8,22.5,Hprt
D8,22.56,Hprt
D8,22.58,Hprt
D0,20.96,Rer1
D0,21.04,Rer1
D0,20.96,Rer1
D2,21.03,Rer1
D2,21.08,Rer1
D2,20.98,Rer1
D4,20.81,Rer1
D4,21.05,Rer1
D4,21.15,Rer1
D6,21.36,Rer1
D6,21.39,Rer1
D6,21.4,Rer1
D8,21.8,Rer1
D8,21.69,Rer1
D8,21.77,Rer1
D0,19.5,Tubb5
D0,19.13,Tubb5
D0,19.42,Tubb5
D2,20.45,Tubb5
D2,20.67,Tubb5
D2,20.4,Tubb5
D4,21.59,Tubb5
D4,21.65,Tubb5
D4,21.6,Tubb5
D6,21.17,Tubb5
D6,21.08,Tubb5
D6,21.15,Tubb5
D8,21.58,Tubb5
D8,21.34,Tubb5
D8,21.54,Tubb5
D0,17.97,Rpl13a
D0,17.82,Rpl13a
D0,17.78,Rpl13a
D2,17.4,Rpl13a
D2,17.43,Rpl13a
D2,17.47,Rpl13a
D4,18.01,Rpl13a
D4,17.9,Rpl13a
D4,17.81,Rpl13a
D6,18.3,Rpl13a
D6,18.23,Rpl13a
D6,18.54,Rpl13a
D8,18.34,Rpl13a
D8,18.48,Rpl13a
D8,18.42,Rpl13a
D0,14.64,Actb
D0,14.73,Actb
D0,14.76,Actb
D2,16.32,Actb
D2,16.31,Actb
D2,16.32,Actb
D4,17.56,Actb
D4,17.6,Actb
D4,17.75,Actb
D6,16.91,Actb
D6,16.77,Actb
D6,16.27,Actb
D8,16.53,Actb
D8,16.66,Actb
D8,16.93,Actb
D0,22.45,Gusb
D0,22.1,Gusb
D0,22.31,Gusb
D2,23.36,Gusb
D2,23.33,Gusb
D2,23.28,Gusb
D4,24.26,Gusb
D4,24.31,Gusb
D4,24.4,Gusb
D6,23.7,Gusb
D6,24.04,Gusb
D6,24.18,Gusb
D8,23.98,Gusb
D8,23.83,Gusb
D8,24.02,Gusb
D0,16.73,Ubc
D0,16.71,Ubc
D0,16.95,Ubc
D2,16.02,Ubc
D2,16.13,Ubc
D2,16.15,Ubc
D4,16.77,Ubc
D4,16.47,Ubc
D4,16.75,Ubc
D6,17.05,Ubc
D6,17.21,Ubc
D6,17.37,Ubc
D8,17.64,Ubc
D8,17.61,Ubc
D8,17.52,Ubc
D0,18.63,Pgk1
D0,18.72,Pgk1
D0,18.39,Pgk1
D2,18.86,Pgk1
D2,19.01,Pgk1
D2,19.15,Pgk1
D4,16.53,Pgk1
D4,16.7,Pgk1
D4,16.75,Pgk1
D6,16.71,Pgk1
D6,16.49,Pgk1
D6,16.6,Pgk1
D8,17.05,Pgk1
D8,16.96,Pgk1
D8,16.7,Pgk1
D0,20.4,Sdha
D0,20.64,Sdha
D0,20.49,Sdha
D2,19.6,Sdha
D2,19.47,Sdha
D2,19.7,Sdha
D4,17.12,Sdha
D4,17.2,Sdha
D4,16.82,Sdha
D6,17.07,Sdha
D6,17.14,Sdha
D6,17.31,Sdha
D8,17.31,Sdha
D8,17.57,Sdha
D8,17.38,Sdha
