genes,comprehensive,Delta_CT,BestKeeper,normFinder,Genorm
Tbp,1.189,1.212,0.181,0.061,0.122
Ubc,1.414,1.213,0.143,0.061,0.122
B2m,3.409,1.23,0.198,0.113,0.205
Rpl13a,3.722,1.239,0.227,0.104,0.258
Rps18,4.729,1.261,0.3,0.104,0.291
Hprt,6.236,1.385,0.392,0.705,0.406
Gapdh,7.737,1.475,0.608,0.845,0.508
Rer1,6.964,1.452,0.446,0.338,0.593
Pgk1,9.487,1.814,1.088,1.468,0.729
Gusb,9.487,1.805,1.199,1.12,0.87
Actb,11,2.11,1.523,1.58,1.015
Sdha,12,2.327,1.656,2.124,1.166
Tubb5,13,5.693,2.95,5.632,1.863
