date,Ucp1,PPARG,Rer1,Sdha,Tbp,Ubc
D0,35.69,24.23,21.31,20.81,23.15,19.1
D0,35.58,24.64,21.68,21.1,23.32,19.92
D0,35.36,24.66,21.62,21.06,23.44,20.14
D2,30.59,21.69,21.27,20.06,22.93,20.09
D2,30.65,21.44,21.08,19.41,22.66,16.96
D2,31.03,21.42,21.3,19.74,22.85,17.24
D4,23.5,19.42,21.41,17.27,22.78,17.31
D4,23.4,19.36,21.43,17.26,22.86,17.39
D4,23.25,19.4,21.22,17.1,22.61,17.15
D6,19.45,19.1,21.44,17.27,22.88,17.5
D6,19.27,19.01,21.53,17.27,22.73,17.43
D6,19.38,19,21.54,17.55,22.59,17.24
